id,loss
0,1624.0988
1,1941.538
2,9987.03
3,5366.045
4,901.3734
5,2259.494
6,2089.8484
7,973.88727
8,2203.7585
9,3004.2378
10,2267.6348
11,1079.946
12,1274.5839
13,1877.4716
14,2006.5121
15,4651.353
16,2013.6765
17,2349.8826
18,2339.7148
19,2620.2473
20,1995.3633
21,1615.2341
22,1431.7079
23,1312.1166
24,1947.2885
25,1109.1532
26,3753.76
27,2875.6707
28,816.53955
29,2560.6584
30,2164.2656
31,1601.8553
32,4989.0186
33,2509.7798
34,3131.6272
35,3484.186
36,2872.69
37,3558.4233
38,1903.4718
39,8157.6113
40,1606.5972
41,4174.6396
42,2607.4124
43,1281.7551
44,1506.1598
45,3277.444
46,1568.0623
47,1371.4913
48,1933.4333
49,756.2898
50,2532.4578
51,7232.432
52,2848.0244
53,1404.5209
54,1612.192
55,3619.852
56,2850.1038
57,5150.626
58,1536.017
59,1180.3401
60,5875.82
61,803.0309
62,1845.8661
63,1371.2263
64,2884.266
65,1353.6475
66,2324.4734
67,1328.8221
68,1657.192
69,912.71674
70,8176.1973
71,1137.9209
72,4709.926
73,2340.149
74,4261.9697
75,3438.1992
76,1792.1486
77,4085.207
78,1807.483
79,3555.987
80,4525.7476
81,2065.6272
82,3946.757
83,1257.7988
84,3636.4338
85,2186.3528
86,2215.831
87,1568.7875
88,3985.8442
89,1571.3135
90,2021.2839
91,8320.057
92,1505.6094
93,1506.9469
94,5546.408
95,7017.462
96,2610.0518
97,1534.535
98,2853.0132
99,4420.0464
100,1851.8987
101,7289.4424
102,1378.7146
103,7419.8247
104,5972.808
105,1278.0397
106,1151.2869
107,950.801
108,1744.5054
109,4119.8486
110,1899.3073
111,1209.3834
112,1256.5425
113,1393.4626
114,3138.4253
115,3041.0315
116,1420.3064
117,4203.041
118,2759.3147
119,1731.4843
120,1816.0674
121,3269.3438
122,1909.3519
123,4471.738
124,2144.5857
125,1366.6373
126,1154.9382
127,4484.048
128,3223.5
129,7928.5425
130,1183.8784
131,1196.8888
132,1486.0219
133,1598.9375
134,906.7304
135,1795.6456
136,2048.0403
137,2245.8428
138,1628.8994
139,3359.4946
140,1387.4077
141,1673.8168
142,1408.6023
143,2290.0935
144,2601.4067
145,1921.8761
146,1485.1782
147,1440.7198
148,1127.3385
149,979.96985
150,2182.9595
151,1103.9501
152,5915.7583
153,1596.6825
154,1091.5494
155,2180.6187
156,907.47736
157,1753.0685
158,3736.2478
159,1598.8353
160,3203.488
161,2422.5872
162,1397.5073
163,1607.212
164,9009.07
165,1679.757
166,3336.3655
167,1914.2279
168,2289.8018
169,1389.2958
170,2754.4307
171,4305.43
172,1272.5133
173,3160.4692
174,1164.0927
175,1372.1519
176,5874.3906
177,3482.136
178,2323.4258
179,2316.8923
180,2013.9003
181,1321.9233
182,5615.9062
183,2127.375
184,1835.1804
185,3202.6904
186,2413.8306
187,1227.1246
188,2526.42
189,1623.5704
190,1472.172
191,4883.1035
192,1703.9326
193,2116.701
194,1841.0315
195,1708.281
196,1179.3153
197,5304.529
198,6416.156
199,1391.6061
200,1399.9889
201,1340.8309
202,3110.9744
203,6486.1177
204,1619.3463
205,5464.0767
206,1424.2006
207,1292.4646
208,1619.7195
209,1920.7606
210,1358.6454
211,1425.4318
212,4996.667
213,7844.798
214,1903.2848
215,3291.7637
216,4024.2856
217,1211.9995
218,1468.8959
219,2966.3025
220,1664.6467
221,1623.8005
222,3569.6157
223,1645.5978
224,2316.92
225,1690.4437
226,1307.2405
227,1377.6484
228,1271.4838
229,1373.6757
230,7021.031
231,1866.1694
232,1123.643
233,3988.2556
234,3643.4236
235,3881.2705
236,2639.0457
237,2888.2822
238,8663.512
239,1003.21606
240,911.72736
241,10625.922
242,5853.947
243,1742.3767
244,2425.3901
245,2418.66
246,4383.96
247,1090.2733
248,2026.2775
249,1989.9475
250,7714.539
251,5281.552
252,904.4341
253,809.05414
254,984.1018
255,723.97235
256,827.09125
257,1477.9336
258,1079.4529
259,800.38104
260,4283.2607
261,1980.3197
262,1885.0656
263,6837.334
264,918.9461
265,1505.1863
266,3843.3735
267,1246.6307
268,4600.617
269,1686.2975
270,3285.5364
271,1815.6783
272,1279.9905
273,4097.4775
274,3758.7012
275,3514.8552
276,11442.637
277,1291.8566
278,9646.506
279,3399.8953
280,3442.469
281,2288.5972
282,963.5449
283,1515.8243
284,1225.4608
285,5875.8813
286,989.6135
287,1363.7886
288,1064.342
289,2065.039
290,1609.3983
291,4140.446
292,1380.0435
293,877.8167
294,1595.8005
295,2760.9883
296,3324.5623
297,5499.89
